Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0565_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0566_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0567_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0568_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0569_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0570_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0571_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0572_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0573_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0574_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0575_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0576_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0577_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0578_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0579_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0580_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0581_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0582_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0583_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0584_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0585_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0586_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0587_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0588_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0589_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0590_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0591_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0592_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0593_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0594_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0595_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0596_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0597_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0598_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0599_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0600_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0601_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0602_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0603_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0604_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0605_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0606_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
_0607_,1.1,4.568e-07,0.000e+00,2.507e-08,4.819e-07
