WARNING: Logging before InitGoogleLogging() is written to STDERR
I20250701 04:05:00.016458 4188874 Sta.cc:377] read verilog file /data/stu25/s2300012745/work/yosys-sta/lab8/result/P2/accelerator-2000MHz/accelerator.netlist.fixed.v start
I20250701 04:05:00.016559 4188874 VerilogParserRustC.cc:41] load verilog file /data/stu25/s2300012745/work/yosys-sta/lab8/result/P2/accelerator-2000MHz/accelerator.netlist.fixed.v
r str /data/stu25/s2300012745/work/yosys-sta/lab8/result/P2/accelerator-2000MHz/accelerator.netlist.fixed.v
I20250701 04:05:00.023643 4188874 Sta.cc:385] read verilog end
I20250701 04:05:00.023697 4188874 Sta.cc:303] load lib start
I20250701 04:05:00.024706 4188919 Sta.cc:281] read liberty /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib start 
I20250701 04:05:00.025188 4188919 LibParserRustC.cc:1285] load liberty file /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib
rust read lib file /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib
I20250701 04:05:00.525638 4188919 LibParserRustC.cc:1294] load liberty file /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib success.
I20250701 04:05:00.525676 4188919 Sta.cc:291] read liberty /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib end 
I20250701 04:05:00.525795 4188874 Sta.cc:322] load lib end
I20250701 04:05:00.525854 4188874 Sta.cc:411] link design accelerator start
I20250701 04:05:00.528960 4189258 LibParserRustC.cc:1304] link liberty file /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib start.
I20250701 04:05:00.530819 4189258 LibParserRustC.cc:666] unkown attri name: technology in /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib line no 45
I20250701 04:05:01.628496 4189258 LibParserRustC.cc:1310] link liberty file /data/stu25/s2300012745/work/yosys-sta/scripts/../pdk/nangate45/lib/Nangate45_typ.lib success.
I20250701 04:05:01.640380 4188874 Sta.cc:792] assign \main_ram_c_d[0] = \q_from_buffer_c[0]
I20250701 04:05:01.640414 4188874 Sta.cc:792] assign \main_ram_c_d[100] = \q_from_buffer_c[100]
I20250701 04:05:01.640420 4188874 Sta.cc:792] assign \main_ram_c_d[101] = \q_from_buffer_c[101]
I20250701 04:05:01.640426 4188874 Sta.cc:792] assign \main_ram_c_d[102] = \q_from_buffer_c[102]
I20250701 04:05:01.640434 4188874 Sta.cc:792] assign \main_ram_c_d[103] = \q_from_buffer_c[103]
I20250701 04:05:01.640440 4188874 Sta.cc:792] assign \main_ram_c_d[104] = \q_from_buffer_c[104]
I20250701 04:05:01.640447 4188874 Sta.cc:792] assign \main_ram_c_d[105] = \q_from_buffer_c[105]
I20250701 04:05:01.640453 4188874 Sta.cc:792] assign \main_ram_c_d[106] = \q_from_buffer_c[106]
I20250701 04:05:01.640458 4188874 Sta.cc:792] assign \main_ram_c_d[107] = \q_from_buffer_c[107]
I20250701 04:05:01.640465 4188874 Sta.cc:792] assign \main_ram_c_d[108] = \q_from_buffer_c[108]
I20250701 04:05:01.640468 4188874 Sta.cc:792] assign \main_ram_c_d[109] = \q_from_buffer_c[109]
I20250701 04:05:01.640476 4188874 Sta.cc:792] assign \main_ram_c_d[10] = \q_from_buffer_c[10]
I20250701 04:05:01.640484 4188874 Sta.cc:792] assign \main_ram_c_d[110] = \q_from_buffer_c[110]
I20250701 04:05:01.640494 4188874 Sta.cc:792] assign \main_ram_c_d[111] = \q_from_buffer_c[111]
I20250701 04:05:01.640501 4188874 Sta.cc:792] assign \main_ram_c_d[112] = \q_from_buffer_c[112]
I20250701 04:05:01.640511 4188874 Sta.cc:792] assign \main_ram_c_d[113] = \q_from_buffer_c[113]
I20250701 04:05:01.640518 4188874 Sta.cc:792] assign \main_ram_c_d[114] = \q_from_buffer_c[114]
I20250701 04:05:01.640524 4188874 Sta.cc:792] assign \main_ram_c_d[115] = \q_from_buffer_c[115]
I20250701 04:05:01.640532 4188874 Sta.cc:792] assign \main_ram_c_d[116] = \q_from_buffer_c[116]
I20250701 04:05:01.640537 4188874 Sta.cc:792] assign \main_ram_c_d[117] = \q_from_buffer_c[117]
I20250701 04:05:01.640542 4188874 Sta.cc:792] assign \main_ram_c_d[118] = \q_from_buffer_c[118]
I20250701 04:05:01.640547 4188874 Sta.cc:792] assign \main_ram_c_d[119] = \q_from_buffer_c[119]
I20250701 04:05:01.640550 4188874 Sta.cc:792] assign \main_ram_c_d[11] = \q_from_buffer_c[11]
I20250701 04:05:01.640555 4188874 Sta.cc:792] assign \main_ram_c_d[120] = \q_from_buffer_c[120]
I20250701 04:05:01.640560 4188874 Sta.cc:792] assign \main_ram_c_d[121] = \q_from_buffer_c[121]
I20250701 04:05:01.640565 4188874 Sta.cc:792] assign \main_ram_c_d[122] = \q_from_buffer_c[122]
I20250701 04:05:01.640570 4188874 Sta.cc:792] assign \main_ram_c_d[123] = \q_from_buffer_c[123]
I20250701 04:05:01.640575 4188874 Sta.cc:792] assign \main_ram_c_d[124] = \q_from_buffer_c[124]
I20250701 04:05:01.640580 4188874 Sta.cc:792] assign \main_ram_c_d[125] = \q_from_buffer_c[125]
I20250701 04:05:01.640585 4188874 Sta.cc:792] assign \main_ram_c_d[126] = \q_from_buffer_c[126]
I20250701 04:05:01.640590 4188874 Sta.cc:792] assign \main_ram_c_d[127] = \q_from_buffer_c[127]
I20250701 04:05:01.640595 4188874 Sta.cc:792] assign \main_ram_c_d[12] = \q_from_buffer_c[12]
I20250701 04:05:01.640604 4188874 Sta.cc:792] assign \main_ram_c_d[13] = \q_from_buffer_c[13]
I20250701 04:05:01.640609 4188874 Sta.cc:792] assign \main_ram_c_d[14] = \q_from_buffer_c[14]
