Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_1059_,1.1,9.579e-08,0.000e+00,1.435e-08,1.101e-07
_1060_,1.1,3.885e-07,0.000e+00,2.292e-08,4.114e-07
_1061_,1.1,2.778e-07,0.000e+00,2.120e-08,2.990e-07
_1062_,1.1,9.511e-08,0.000e+00,1.435e-08,1.095e-07
_1063_,1.1,2.777e-07,0.000e+00,2.120e-08,2.989e-07
_1064_,1.1,5.258e-07,0.000e+00,2.294e-08,5.488e-07
_1065_,1.1,1.064e-07,0.000e+00,1.435e-08,1.208e-07
_1066_,1.1,9.507e-08,0.000e+00,1.435e-08,1.094e-07
_1067_,1.1,2.794e-07,0.000e+00,2.120e-08,3.006e-07
_1068_,1.1,9.544e-08,0.000e+00,1.435e-08,1.098e-07
_1069_,1.1,2.767e-07,0.000e+00,2.120e-08,2.979e-07
_1070_,1.1,5.243e-07,0.000e+00,2.294e-08,5.473e-07
_1071_,1.1,1.159e-07,0.000e+00,1.674e-08,1.327e-07
_1072_,1.1,8.220e-08,0.000e+00,1.435e-08,9.655e-08
_1073_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1074_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1075_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1076_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1077_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1078_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1079_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1080_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1081_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1082_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1083_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1084_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1085_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1086_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1087_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1088_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1089_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1090_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1091_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1092_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1093_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1094_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1095_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1096_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1097_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1098_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1099_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1100_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1101_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
_1102_,1.1,4.567e-07,0.000e+00,2.507e-08,4.818e-07
